Frequency / Hz,Vm3:Measured voltage,Vm3:Measured voltage
10,47.80713032,386.5388234
20,45.55846295,377.5080876
30,45.09994529,359.4157238
40,46.54914477,347.6011157
50,48.14289265,345.4559682
60,49.23721946,348.2536594
70,49.7980228,352.590696
80,49.91532681,356.9545801
90,49.73355988,360.3495427
100,49.37179847,362.1032188
110,48.96582332,362.1796906
120,48.67601526,360.8855602
130,48.5646653,358.8260015
140,48.61872096,357.0024539
150,48.790176,355.8524397
160,48.98002618,355.3846032
170,49.12447125,355.5424893
180,49.22043875,356.0175262
190,49.24774067,356.4495951
200,49.22150423,356.8149177
210,49.17955266,356.9441354
220,49.12622388,356.7844184
230,49.07791102,356.5052366
240,49.0589673,356.1301559
250,49.05026917,355.6867858
260,49.05307628,355.3639819
270,49.06895756,355.0991714
280,49.07807891,354.8854154
290,49.07954262,354.79205
300,49.08116503,354.7226777
310,49.0676623,354.6498005
320,49.04932354,354.6343243
330,49.03197151,354.5950819
340,49.00948935,354.5470511
350,48.98849745,354.5372567
360,48.9750935,354.5230935
370,48.96136467,354.5242799
380,48.95432317,354.5715196
390,48.95505217,354.636052
400,48.9598483,354.7114905
410,48.97001751,354.8209607
420,48.98963708,354.9399416
430,49.01467179,355.0399263
440,49.0446771,355.1416255
450,49.08460421,355.2259933
460,49.12977609,355.2470456
470,49.17654309,355.2490678
480,49.23370331,355.2067361
490,49.2910468,355.0617636
500,49.34522732,354.9000024
510,49.40690821,354.6699477
520,49.46078863,354.3352097
530,49.50665043,354.0022496
540,49.55695303,353.5982565
550,49.5890738,353.1099605
560,49.61317997,352.678673
570,49.63708005,352.1758576
580,49.63824524,351.6527534
590,49.63400979,351.2333696
600,49.62966593,350.7586144
610,49.60053541,350.342271
620,49.57939308,350.0590547
630,49.55584454,349.7238004
640,49.51749544,349.5130134
650,49.49867654,349.4157222
660,49.48009898,349.2383711
670,49.45696122,349.2197245
680,49.46461947,349.1973696
690,49.46557238,349.0802632
700,49.47344407,349.071753
710,49.5066001,348.945414
720,49.5213681,348.7039038
730,49.54536559,348.5411229
740,49.57534281,348.1669878
750,49.5754908,347.7727242
760,49.58091541,347.4227958
770,49.57281525,346.9129654
780,49.53044916,346.5145998
790,49.49621451,346.1952515
800,49.43574824,345.8352282
810,49.35937942,345.7364421
820,49.29834118,345.732946
830,49.22219253,345.8227761
840,49.16106915,346.2088561
850,49.13169482,346.6182833
860,49.10773634,347.1402896
870,49.12823826,347.7838127
880,49.18033068,348.2889233
890,49.24858912,348.7733324
900,49.3554487,349.1333622
910,49.47079792,349.2337722
920,49.5883711,349.2164988
930,49.71451381,348.9751864
940,49.8219596,348.5269479
950,49.91369096,347.9844876
960,49.98963083,347.3070069
