"Frequency / Hz","Vm3:Measured voltage","Vm3:Measured voltage"
10,-6.0568476308235795,0.071786880597682456
20,-6.0432666238339525,-0.92328971663023895
30,-6.0215261475732227,-1.835293922093076
40,-6.0106585889406041,-2.5482427180698268
50,-6.0175001316978864,-3.0274413206853792
60,-6.0368453049615294,-3.3121299284089334
70,-6.0566567748637894,-3.4945766713067639
80,-6.0656654853501202,-3.6911503581236325
90,-6.0594924012322391,-4.0042490829248578
100,-6.042557724247164,-4.4886035122090089
110,-6.0254119202188221,-5.1339557782745588
120,-6.0192380849279754,-5.8722321089515921
130,-6.0304681330462984,-6.6039613347428423
140,-6.057656405175309,-7.2347309017338519
150,-6.0917260642538853,-7.7106232061731683
160,-6.1197610668461468,-8.0393784586729442
170,-6.1310543559564081,-8.2902842801088799
180,-6.1225469702127358,-8.565432971285162
190,-6.1006730755520646,-8.9549669814661161
200,-6.078459848724842,-9.4966162787635042
210,-6.0695143985193774,-10.160752432622267
220,-6.0818718391076239,-10.864241291704426
230,-6.1143644919901128,-11.506368735226653
240,-6.1568241431839574,-12.012088325728319
250,-6.1941269274090205,-12.366739636582283
260,-6.2131034618533878,-12.625626145118229
270,-6.2091106633117015,-12.890438587593193
280,-6.1886425974764574,-13.260215829252862
290,-6.1663002547628398,-13.782640595791401
300,-6.1577235638437902,-14.431934865583125
310,-6.1722759491340673,-15.121758160806525
320,-6.2087113320145377,-15.745112945610945
330,-6.2555269555363422,-16.22337260091199
340,-6.2958652117626617,-16.545976790463151
350,-6.315686550596662,-16.778943320620542
360,-6.3111825395666612,-17.034879270474445
370,-6.2910191428363058,-17.41530944489541
380,-6.2719142975513318,-17.957849350113388
390,-6.2700875584430733,-18.617758662001485
400,-6.2933679731804517,-19.291230410871119
410,-6.3372573886837085,-19.865167512070879
420,-6.3868074435755817,-20.272972168489428
430,-6.4237534854417806,-20.530982410090711
440,-6.4360486736694087,-20.73495863873254
450,-6.4247879734961932,-21.010237933052057
460,-6.4038165454766887,-21.44397221684952
470,-6.3921779366143578,-22.037739558916257
480,-6.4040857257997796,-22.708184295018878
490,-6.4415797703462596,-23.330429460044126
500,-6.4933211019885038,-23.801264329108175
510,-6.5399903197791565,-24.095178695286279
520,-6.564495879413009,-24.282612200717335
530,-6.5618838125383805,-24.49470785833925
540,-6.5425507775168077,-24.848874913701078
550,-6.5262908943193416,-25.3817114545386
560,-6.5311898881919301,-26.029744389690972
570,-6.5637805544312648,-26.664929197394663
580,-6.6154843271542738,-27.163214441551265
590,-6.6667098301701539,-27.472918289017926
600,-6.697530253920128,-27.648532993240302
610,-6.6995593591577149,-27.823806700523924
620,-6.6813656821603429,-28.133195563482193
630,-6.6634492971409829,-28.631233515488798
640,-6.6660720620194223,-29.261360838791848
650,-6.6976867266326954,-29.889980244028283
660,-6.7501334706341307,-30.381267461873559
670,-6.8027442070788613,-30.675289693003194
680,-6.8340752704979888,-30.828171528367506
690,-6.8351931436925497,-30.983444390419912
700,-6.8157919061670231,-31.283488193993254
710,-6.7981325034209741,-31.780658281504174
720,-6.8032853906279191,-32.406285111750236
730,-6.8385917563058332,-33.013265284995789
740,-6.8932639489203744,-33.462237144084959
750,-6.9442000694662021,-33.706395338895831
760,-6.969853507413692,-33.825786733670888
770,-6.96440969382187,-33.981784941169749
780,-6.9420530957880242,-34.312230643539777
790,-6.9276491175444814,-34.841980670342338
800,-6.9408838384996372,-35.469112670990107
810,-6.9841144108172717,-36.028981227401061
820,-7.0406853022027054,-36.395212812047923
830,-7.0846826893764723,-36.562244169282984
840,-7.0976537103937094,-36.655333158320197
850,-7.0816131694820506,-36.850945079607484
860,-7.0579473527372061,-37.256228938517118
870,-7.0528265800096168,-37.837901295384441
880,-7.0801846889766287,-38.44670495674896
890,-7.1326999562796525,-38.912669476423766
900,-7.1860324742527286,-39.155867913690166
910,-7.2143670180318562,-39.244886723806474
920,-7.2085117650541406,-39.356483074518948
930,-7.1829998213794797,-39.652295147219085
940,-7.1657608376094295,-40.165065498187317
950,-7.1787890105121601,-40.778428584100098
960,-7.2235105309017289,-41.306383707096288
970,-7.2794853454998769,-41.616880526558411
980,-7.3175673428568642,-41.725745501159217
990,-7.3204852605099973,-41.793431956224573
1000,-7.2961101485469584,-42.011865076585885
1100,-7.3955821322887649,-45.892196103862645
1200,-7.5681889852903037,-48.621008664317898
1300,-7.5593272656240043,-52.104650283925039
1400,-7.6920068285937768,-54.909008662969896
1500,-7.6352003483793185,-58.536141325151391
1600,-7.6510742933701357,-61.232579049955739
1700,-7.6311585655051983,-65.255517126456795
1800,-7.4695541043619293,-68.750491378591178
1900,-7.4153723794708428,-72.343439885818071
2000,-7.3334892115334052,-77.087483192527287
2100,-7.1491926954957936,-82.190786419585777
2200,-6.9745494948130391,-87.384184228919096
2300,-6.8754347955384407,-93.081050796756088
2400,-6.8539427210412391,-99.556788564768283
2500,-6.9180819443287112,-106.72842420416521
2600,-7.0881036039863812,-114.38963338784191
2700,-7.3905945655021288,-122.25586044272738
2800,-7.8313618348130829,-130.06974529644233
2900,-8.4042286366956187,-137.59001709054016
3000,-9.0941522502677117,-144.71471251877102
3100,-9.8983045548127073,-151.29833642612491
3200,-10.811875125910541,-157.03917327743085
3300,-11.74993180757542,-161.57309417024001
3400,-12.596838579374039,-165.4273263843628
3500,-13.454180324028485,-169.54678604383588
3600,-14.431581810753149,-172.71302659479582
3700,-15.233798287957798,-174.86295433114964
3800,-16.074169191202955,-177.86625421634716
3900,-16.927645308243033,-179.20463123974082
4000,-17.654942699293773,-181.56309464707792
4100,-18.459988794200179,-182.40970361748037
4200,-19.17468820001195,-184.40197227129002
4300,-19.841245490719647,-184.89061580775262
4400,-20.615903825334758,-186.12049469767206
4500,-21.19946071751459,-187.33998382320473
4600,-21.810116646562715,-187.56047074815035
4700,-22.498501230765171,-188.10824919753978
4800,-23.115244887862282,-189.09160725124534
4900,-23.646694933608934,-189.83101770954272
5000,-24.157950805280418,-190.18177386414857
5100,-24.676958305804717,-190.35879110155381
5200,-25.196657865327452,-190.52661140594134
5300,-25.705018640957103,-190.74115595558544
5400,-26.198101683868622,-191.02208960791577
5500,-26.683896731486154,-191.38573143533466
5600,-27.183098374778133,-191.78449442414575
5700,-27.711182424558206,-191.97109298745241
5800,-28.221577919089196,-191.57806208603421
5900,-28.596474665137293,-190.92378923802974
6000,-28.884124194950267,-191.32247672219722
6100,-29.374976024468197,-192.30104353317228
6200,-29.893800301326987,-191.39794356367537
6300,-30.101128071248652,-191.35336827128648
6400,-30.646951322466137,-192.14072979946741
6500,-30.91816726325078,-190.73761278975678
6600,-31.332433630853771,-192.29189841473627
6700,-31.659430010974887,-190.65287677960961
6800,-32.112054577453094,-191.90767549895861
6900,-32.255737238522393,-190.96938879192055
7000,-32.838352606040964,-190.74981450845314
7100,-33.057470838694165,-191.80102586662548
7200,-33.246609317245593,-190.72854266990788
7300,-33.739016935941201,-189.94945358203282
7400,-34.138691167437564,-190.64214620343691
7500,-34.374088311070608,-191.37284924650945
7600,-34.561045249586364,-191.10694107653799
7700,-34.794834857809882,-190.66555016805918
7800,-35.077478329884883,-190.08298240211352
7900,-35.356595906809247,-189.86288145939605
8000,-35.641438271850078,-189.68159443924694
8100,-35.916138169123158,-189.88604814403107
8200,-36.223124487280678,-190.07995388344975
8300,-36.595098954272835,-190.29954456237283
8400,-36.978371169947302,-189.64407872052979
8500,-37.239502674471403,-188.29642998051369
8600,-37.277721121808568,-188.00721310283515
8700,-37.509260355303901,-189.32094383751846
8800,-38.028518460832075,-188.84964054722235
8900,-38.066082131645452,-187.26228422714735
9000,-38.28206160096596,-189.08109233922789
9100,-38.726967426722013,-187.14898622291037
9200,-38.67482691619702,-188.32030437962382
9300,-39.204928105977615,-186.97307457124924
9400,-39.152574174826718,-188.20958857505406
9500,-39.55344809587352,-185.9903272568954
9600,-39.81843367363669,-188.12889700649043
9700,-39.759156422647607,-186.75431164925479
9800,-40.237574298148253,-185.53076075820042
9900,-40.533335680266738,-187.16932693232607
10000,-40.494509511573369,-187.45526505633143
11000,-42.3256051733796,-184.17759567025192
12000,-44.52186410040882,-182.19680138376947
13000,-45.633560496437568,-180.0602505770087
14000,-47.042342691835721,-180.00419727008182
15000,-48.305640426837058,-177.81788019987317
16000,-49.757303389829382,-173.72997234416277
17000,-51.069272420283369,-176.28108683627778
18000,-52.31807273203372,-171.04637022544264
19000,-52.918948716079882,-168.36463466044816
20000,-53.936548785454747,-168.2782242528186
21000,-54.525213407314503,-171.84202171461871
22000,-55.271832026085193,-161.45835101439326
23000,-56.003043299280151,-169.72012215471648
24000,-57.225159680099893,-167.77228828872384
25000,-57.394084468207005,-163.05669336165448
26000,-58.910245406052383,-152.2523624643041
26370,-64.885967098374678,-178.44142922171761
