Frequency / Hz,Vm3:Measured voltage,Vm3:Measured voltage
10,-41.3090231,537.7326394
20,-41.21760763,537.5202724
30,-41.16576013,537.716353
40,-41.16717138,537.9196213
50,-41.2087494,537.8424035
60,-41.26818572,537.3654872
70,-41.32484875,536.5354008
80,-41.36620539,535.5133574
90,-41.38923376,534.4945785
100,-41.39729666,533.6315139
110,-41.39542031,532.9887589
120,-41.38733304,532.5386832
130,-41.37541006,532.1891473
140,-41.36224106,531.8278301
150,-41.35175504,531.3662444
160,-41.34875828,530.7683292
170,-41.35711822,530.0567625
180,-41.3777587,529.2970938
190,-41.40745568,528.5684129
200,-41.43923109,527.93079
210,-41.46451775,527.4019391
220,-41.47659193,526.9507269
230,-41.4737643,526.5126778
240,-41.46064266,526.0198935
250,-41.44649232,525.4322912
260,-41.44137853,524.7547887
270,-41.45189827,524.0341688
280,-41.47831669,523.3377302
290,-41.51420338,522.7235586
300,-41.54894351,522.2137248
310,-41.57226417,521.7820734
320,-41.57905079,521.364749
330,-41.57191697,520.8899966
340,-41.56012144,520.3131809
350,-41.55521967,519.6383729
360,-41.56567702,518.9166914
370,-41.59301409,518.2231225
380,-41.63093425,517.6222354
390,-41.66803957,517.1370438
400,-41.69309827,516.7355812
410,-41.70073512,516.3439961
420,-41.69434237,515.8828678
430,-41.68450768,515.3074994
440,-41.6836924,514.6305776
450,-41.70008755,513.9159138
460,-41.73356421,513.2478288
470,-41.77551882,512.6902686
480,-41.81281668,512.2537207
490,-41.83443305,511.8869692
500,-41.83740843,511.5015323
510,-41.8287265,511.0185004
520,-41.8216733,510.4107758
530,-41.82884328,509.7174884
540,-41.85561716,509.0237179
550,-41.89729205,508.4175835
560,-41.94116422,507.9439904
570,-41.97297974,507.5783197
580,-41.98481149,507.2365349
590,-41.97979201,506.8205265
600,-41.97055774,506.2735473
610,-41.97220717,505.6120963
620,-41.99404755,504.9166893
630,-42.03449376,504.2890463
640,-42.08159277,503.7970153
650,-42.11927162,503.4348523
660,-42.13643182,503.122483
670,-42.13378236,502.7499931
680,-42.12369397,502.2424398
690,-42.12298192,501.6041868
700,-42.14320038,500.916181
